Classification								Gram Strain	Cell Shape	Motility	Sporulation	Temperature Range	Optimum Temperature	pH range; Optimum	Carbon Source	Habitat	Salinity	Oxygen Requirement	Biotic Relationship	Pathogenicity	Geographic location	Sample Collection	Latitude	Longitude	Altitude
Domain	Phylum	Class	Order	Family	Genus	Species	(Type) Strain																		
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA											Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS										Freshwater					"Lake Mendota, Madison, WI"	4/20/2010	43.098333	-89.405278	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified										Freshwater					"Lake Mendota, Madison, WI"	4/20/2010	43.098333	-89.405278	
Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	beta proteobacterium SCGC AAA028-K02	Unknown	Gram-																	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	POLYNUCLEOBACTER NECESSARIUS										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	POLYNUCLEOBACTER NECESSARIUS										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	beta proteobacterium SCGC AAA027-C02	Unknown	Gram-																	
Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	beta proteobacterium SCGC AAA027-I06	Unknown	Gram-																	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	COMAMONADACEAE	ALBIDIFERAX	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	COMAMONADACEAE	ALBIDIFERAX	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	COMAMONADACEAE	ALBIDIFERAX	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	COMAMONADACEAE	ALBIDIFERAX	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	LAUTROPIA	unclassified										Freshwater					"Lake Mendota, Madison, WI"	4/20/2010	43.098333	-89.405278	
Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	LAUTROPIA	unclassified										Freshwater					"Lake Mendota, Madison, WI"	4/20/2010	43.098333	-89.405278	
