		Classification								Gram Strain	Cell Shape	Motility	Sporulation	Temperature Range	Optimum Temperature	pH range; Optimum	Carbon Source	Habitat	Salinity	Oxygen Requirement	Biotic Relationship	Pathogenicity	Geographic location	Sample Collection	Latitude	Longitude	Altitude
taxon_oid	Nickname	Domain	Phylum	Class	Order	Family	Genus	Species	(Type) Strain																		
2582580712	TH00953	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA											Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
2582580623	TE02167	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
2593339182	TH02902	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
2582580561	ME03080	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS										Freshwater					"Lake Mendota, Madison, WI"	4/20/2010	43.098333	-89.405278	
2582580598	ME00068	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified										Freshwater					"Lake Mendota, Madison, WI"	4/20/2010	43.098333	-89.405278	
2619618804	AAA028-K02	Bacteria	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	beta proteobacterium SCGC AAA028-K02										Freshwater					"Lake Mendota, Madison, WI"	5/12/09	43.098333	-89.405278
2593339176	TH00545	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
2582580649	TE00913	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
2582580621	TE02094	Bacteria	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	unclassified										Freshwater					"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	
