taxon_oid	Nickname	J	A	K	L	B	D	V	T	M	N	U	O	C	G	E	F	H	I	P	Q	R	S	Not in COGs
2582580712	TH00953	118	1	61	79	0	23	15	33	123	4	31	77	73	69	123	47	90	42	63	14	137	122	330
2582580623	TE02167	98	1	46	65	0	19	15	31	94	3	36	68	96	58	118	43	83	31	56	15	120	107	323
2593339182	TH02902	84	1	31	45	0	15	8	21	78	1	18	54	57	39	92	38	75	36	28	12	89	71	315
2582580561	ME03080	92	2	29	54	1	18	7	27	76	22	49	72	75	56	107	39	84	33	47	12	120	100	321
2582580598	ME00068	79	1	19	29	1	8	4	14	33	1	7	31	46	20	44	25	37	23	16	9	57	37	201
2619618804	AAA028-K02	40	0	18	29	1	6	2	16	41	1	9	29	15	30	35	19	31	23	22	7	48	46	149
2593339176	TH00545	104	1	50	65	0	20	18	33	90	3	34	72	100	59	118	44	87	26	60	16	113	115	268
2582580649	TE00913	110	1	27	44	0	15	7	17	56	2	19	52	58	32	78	31	68	34	27	12	73	74	293
2582580621	TE02094	99	1	70	79	3	19	21	57	141	18	43	91	123	67	138	44	83	80	101	39	188	150	702
2593339177	TH00941	85	1	44	53	2	14	10	37	79	5	17	67	117	51	114	37	78	59	51	27	127	127	455
2582580633	TE03838	85	1	53	49	2	18	13	24	97	20	35	70	143	62	148	38	99	85	56	46	157	140	528
2582580620	TE02093	94	1	40	67	2	14	8	25	77	0	14	68	122	49	119	38	71	56	40	28	129	118	400
2582580642	TE00567	94	1	52	61	2	15	10	26	102	4	28	81	142	62	147	38	88	71	52	41	170	154	424
2582580711	TH00944	92	1	55	66	2	17	15	30	103	1	31	80	139	67	139	34	79	74	55	33	158	133	612
2619618801	AAA027-C02	74	1	44	42	1	10	6	29	75	4	16	40	85	56	74	24	75	69	47	36	125	126	396
2619618802	AAA027-I06	54	0	60	40	4	13	9	24	76	11	27	50	78	79	115	25	44	70	44	43	143	119	542
2582580637	TE04548	91	0	125	75	1	16	39	125	105	20	68	101	174	126	318	45	84	144	118	77	269	159	1054
2582580658	TH02159	135	1	174	102	4	31	33	212	152	107	91	138	219	186	291	65	115	130	136	67	307	192	1120
2582580653	TH01542	144	1	159	105	1	21	47	140	139	28	85	121	246	169	393	56	109	187	144	99	328	204	897
2582580659	TH02160	105	0	157	86	3	21	44	209	119	105	72	102	182	157	259	55	100	131	136	73	268	188	1095
