taxon_oid	Nickname	Genome size (bp)	DNA coding (bp)	DNA G+C (bp)	DNA scaffolds	Total genes	Protein coding genes	RNA genes	Pseudo genes	Genes in internal clusters	Genes with function prediction	Genes assigned to COGs	Genes with Pfam domains	Genes with signal peptides	Genes with transmembrane helies	CRISPR repeats
2582580712	TH00953	1556854	1446187	656150	50	1608		40	0		1403	1238	1433	115	339	0
2582580623	TE02167	1423270	1305223	605960	93	1467		29	0		1290	1115	1319	94	330	0
2593339182	TH02902	1002927	952997	363913	75	1180		35	0		1017	830	1037	73	256	0
2582580561	ME03080	1320940	1229791	657237	89	1378		32	0		1216	1025	1234	130	298	0
2582580598	ME00068	593228	564999	218852	94	724		20	0		622	503	640	33	165	0
2619618804	AAA028-K02	558098	525801	209497	8	609	580	29	0	0	490	431	506	49	130	0
2593339176	TH00545	1431993	1313193	610263	51	1439		29	0		1276	1142	1300	86	324	0
2582580649	TE00913	942700	894268	343357	85	1111		35	0		965	783	981	60	225	0
2582580621	TE02094	2210814	2044558	979035	94	2256		42	0		1815	1512	1864	209	573	0
2593339177	TH00941	1496525	1391467	670944	68	1581		29	0		1324	1097	1355	126	380	0
2582580633	TE03838	1727630	1616788	772818	168	1869		25	0		1585	1316	1616	173	413	0
2582580620	TE02093	1458458	1363118	656314	155	1516		27	0		1300	1089	1329	128	357	0
2582580642	TE00567	1660228	1565305	761125	93	1777		36	0		1529	1317	1563	178	406	0
2582580711	TH00944	1737056	1633546	800130	193	1934		33	0		1617	1289	1664	143	443	0
2619618801	AAA027-C02	1265699	1172390	553254	49	1384	1353	31	0	0	1151	957	1186	134	314	0
2619618802	AAA027-I06	1523194	1407947	775540	79	1577	1553	24	0	0	1245	1011	1278	148	338	0
2582580637	TE04548	2999617	2758632	1881711	415	3117		33	0		2624	2030	2669	247	720	0
2582580658	TH02159	3815911	3553626	2332356	188	3721		50	0		3129	2551	3175	310	793	0
2582580653	TH01542	3722418	3408329	2328273	139	3548		51	0		3034	2600	3092	317	843	0
2582580659	TH02160	3407684	3149004	2115282	357	3416		39	0		2873	2282	2922	260	704	0
2582580515	ME10739	2631188	2494524	1397935	257	2627		31	0		2313	1922	2338	139	561	0
2582580538	ME16806	3110597	2886657	1977799	277	3112		36	0		2702	2239	2757	200	648	0
