Notes	Lineage	Clade	Tribe	taxon_oid	Nickname	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	Phylum	Class	Order	Family	Genus	Species	Perc Completeness %	IMG Genome ID	NCBI Taxon ID	RefSeq Project ID	GenBank Project ID	IMG Submission ID	JGI Project ID	GOLD Study ID	GOLD Project ID	GOLD Analysis Project ID	Project Type	Submission Type	Strain	Funding Agency	Is Public	IMG Product Assignment	High Quality	Add Date	Release Date	Distance Matrix Calc. Date	User Access	Alt. Contact Email	Alt. Contact Name	Bioproject Accession	Biosample Accession	Contact Email	Contact Name	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Geographic Location	Gram Staining	HMP ID	ITS PID	Isolation	Isolation Country	Latitude	Longitude	PMO ID	Project / Study Name	Relevance	Replicate	Salinity	Sample Body Site	Sample Collection Date	Seq Status	Sequencing Method	Specific Ecosystem	Type Strain	Uncultured Type	Genome Size	Gene Count	Scaffold Count	CRISPR Count	GC Count	GC	Coding Base Count	Coding Base Count %	Coding Base Count NP	Coding Base Count NP %	CDS Count	CDS %	RNA Count	RNA %	rRNA Count	5S rRNA Count	16S rRNA Count	18S rRNA Count	23S rRNA Count	28S rRNA Count	tRNA Count	Other RNA Count	Pseudo Genes Count	Pseudo Genes %	Unchar Count	Unchar %	Dubious Count	Dubious %	w/ Func Pred Count	w/ Func Pred %	w/o function prediction	w/o function prediction %	Orthologs Count	Orthologs %	Paralogs Count	Paralogs %	Obsolete Count	Obsolete %	Revised Count	Revised %	Fused Count	Fused %	Fusion Component Count	Fusion component %	SwissProt Count	SwissProt %	Not SwissProt Count	Not SwissProt %	COG Count	COG %	KOG Count	KOG %	Pfam Count	Pfam %	TIGRfam Count	TIGRfam %	Enzyme Count	Enzyme %	TC Count	TC %	KEGG Count	KEGG %	Not KEGG Count	Not KEGG %	KO Count	KO %	Not KO Count	Not KO %	MetaCyc Count	MetaCyc %	Not MetaCyc Count	Not MetaCyc %	IMG Term Count	IMG Term %	IMG Pathwawy Count	IMG Pathway %	IMG Parts List Count	IMG Parts List %	MyIMG Annotation Count	MyIMG Annotation %	Signal Peptide Count	Signal Peptide %	Transmembrane Count	Transmembrane %	Horizontally Transferred Count	Horizontally Transferred %	Genome Property Count	Genome Property %	Ortholog Group Count	Paralog Group Count	COG Cluster Count	KOG Cluster Count	Pfam Cluster Count	TIGRfam Cluster Count	IMG Cluster Count	IMG Cluster %	Chromosomal Cassette Gene Count	Chromosomal Cassette Gene %	Chromosomal Cassette Count	Biosynthetic Cluster Gene Count	Biosynthetic Cluster Gene %	Biosynthetic Cluster Count	InterPro Count	InterPro %
	betIV			2582580712	TH00953	Bacteria	Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.953	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA		68.8	2582580712	1224	0	0	44205	0	Gs0063444	Gp0053369	Ga0048129	Genome from Metagenome	Primary			No	Yes		7/26/2014			"mlbendall, rrmalmstrom, simon.roux, tmcmahon"	ipagani@lbl.gov	Ioanna Pagani			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Trout Bog, Vilas County, Wisconsin, USA"				"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	404910	"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2008 hypolimnion"						In progress	Illumina HiSeq 2000	Hypolimnion			1556854	1608	50	0	656150	0.42	1446187	92.9	1446187	92.9	1568	97.51	40	2.49	2	2	0	0	0	0	33	5	0	0	0	0	0	0	1403	87.25	165	10.26	0	0	921	57.28	0	0	0	0	0	0	0	0	0	0	0	0	1238	76.99	400	24.88	1433	89.12	782	48.63	625	38.87	158	9.83	612	38.06	956	59.45	1073	66.73	495	30.78	549	34.14	1019	63.37	237	14.74	140	8.71	65	4.04	0	0	115	7.15	339	21.08	1539	95.71	0	0	0	0	1027	342	1344	760	0	0	1608	100	94	45	2.8	3	972	60.45
	betIV			2582580623	TE02167	Bacteria	Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2167	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS	64.2	2582580623	1224	0	0	44115	0	Gs0063444	Gp0053362	Ga0048039	Genome from Metagenome	Primary			No	Yes		7/26/2014			"mlbendall, rrmalmstrom, simon.roux, tmcmahon"	ipagani@lbl.gov	Ioanna Pagani			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Trout Bog, Vilas County, Wisconsin, USA"				"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	404804	"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2007 epilimnion"						In progress	Illumina HiSeq 2000	Epilimnion			1423270	1467	93	0	605960	0.43	1305223	91.71	1305223	91.71	1438	98.02	29	1.98	2	2	0	0	0	0	23	4	0	0	0	0	0	0	1290	87.93	148	10.09	0	0	857	58.42	0	0	0	0	0	0	0	0	0	0	0	0	1115	76.01	381	25.97	1319	89.91	733	49.97	565	38.51	173	11.79	577	39.33	861	58.69	995	67.83	443	30.2	502	34.22	936	63.8	198	13.5	121	8.25	49	3.34	0	0	94	6.41	330	22.49	1421	96.86	0	0	0	0	945	331	1270	715	0	0	1467	100	135	15	1.02	4	900	61.35
	betIV			2593339182	TH02902	Bacteria	Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.2902.v2	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified	56.0	2593339182	1224	0	0	51356	0	Gs0063444	Gp0053369	Ga0059283	Genome from Metagenome	Primary			No	Yes	No	10/15/2014			"rrmalmstrom, tmcmahon"	ipagani@lbl.gov	Ioanna Pagani			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Trout Bog, Vilas County, Wisconsin, USA"				"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	404910	"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2008 hypolimnion"						In progress	Illumina HiSeq 2000	Hypolimnion			1002927	1180	75	0	363913	0.36	952997	95.06	952997	95.06	1145	97.03	35	2.97	0	0	0	0	0	0	31	0	0	0	0	0	0	0	1017	86.19	128	10.85	0	0	606	51.36	0	0	0	0	17	1.44	0	0	0	0	0	0	830	70.34	290	24.58	1037	87.88	570	48.31	459	38.9	107	9.07	461	39.07	684	57.97	759	64.32	386	32.71	412	34.92	733	62.12	182	15.42	117	9.92	47	3.98	0	0	73	6.19	256	21.69	0	0	0	0	0	0	729	265	998	557	0	0	1180	100	87	37	3.14	2	702	59.49
	betIV			2582580561	ME03080	Bacteria	Permanent Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Lake Mendota Epilimnion pan-assembly MEint.metabat.3080	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS	49.5	2582580561	1224	0	0	44053	0	Gs0063444	Gp0053482	Ga0047977	Genome from Metagenome	Primary			No	Yes		7/26/2014			"mlbendall, rrmalmstrom, simon.roux, tmcmahon"	malfatti3@llnl.gov	Stephanie Malfatti			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Lake Mendota, Madison, WI"				"Lake Mendota, Madison, WI"		43.098333	-89.405278	403934	"Freshwater microbial communities from Lake Mendota, WI - Practice 20APR2010 epilimnion"					4/20/2010	Complete	Illumina GAii	Epilimnion			1320940	1378	89	0	657237	0.5	1229791	93.1	1229791	93.1	1346	97.68	32	2.32	0	0	0	0	0	0	29	0	0	0	0	0	0	0	1216	88.24	130	9.43	0	0	872	63.28	0	0	0	0	0	0	0	0	0	0	0	0	1025	74.38	340	24.67	1234	89.55	675	48.98	528	38.32	144	10.45	532	38.61	814	59.07	910	66.04	436	31.64	465	33.74	881	63.93	205	14.88	124	9	60	4.35	0	0	130	9.43	298	21.63	1332	96.66	0	0	0	0	854	292	1150	626	0	0	1378	100	112	56	4.06	2	839	60.89
	betIV			2582580598	ME00068	Bacteria	Permanent Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Lake Mendota Epilimnion pan-assembly MEint.metabat.68	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified	52.3	2582580598	1224	0	0	44090	0	Gs0063444	Gp0053482	Ga0048014	Genome from Metagenome	Primary			No	Yes		7/26/2014			"mlbendall, rrmalmstrom, simon.roux, tmcmahon"	malfatti3@llnl.gov	Stephanie Malfatti			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Lake Mendota, Madison, WI"				"Lake Mendota, Madison, WI"		43.098333	-89.405278	403934	"Freshwater microbial communities from Lake Mendota, WI - Practice 20APR2010 epilimnion"					4/20/2010	Complete	Illumina GAii	Epilimnion			593228	724	94	0	218852	0.37	564999	95.24	564999	95.24	704	97.24	20	2.76	0	0	0	0	0	0	18	0	0	0	0	0	0	0	622	85.91	82	11.33	0	0	293	40.47	0	0	0	0	0	0	0	0	0	0	0	0	503	69.48	191	26.38	640	88.4	359	49.59	273	37.71	59	8.15	285	39.36	419	57.87	450	62.15	254	35.08	242	33.43	462	63.81	110	15.19	63	8.7	36	4.97	0	0	33	4.56	165	22.79	685	94.61	0	0	0	0	450	173	689	349	0	0	724	100	98	19	2.62	2	457	63.12
	betIV	betIV-A	LD28	2619618804	AAA028-K02	Bacteria	Permanent Draft	High-resolution temporal and spatial dynamics of microbially-mediated carbon processing revealed though time-series metagenomics in freshwater lakes	beta proteobacterium SCGC AAA028-K02 (contamination screened)	DOE Joint Genome Institute (JGI)	Proteobacteria	Betaproteobacteria	unclassified	unclassified	unclassified	beta proteobacterium SCGC AAA028-K02		2619618804	938797	0	0	62855	1004460	Gs0015918	Gp0025293	Ga0073398	Single Cell Analysis (screened)	Primary	SCGC AAA028-K02	DOE	Yes	Yes	Yes	6/15/15	6/30/15	6/27/15				PRJNA177880	SAMN02441553	tmcmahon@engr.wisc.edu	Katherine McMahon						Gram-		1004460						beta proteobacterium SCGC AAA028-K02						Complete	"Illumina HiSeq 2000, Illumina HiSeq 2500"		Unknown	Single Cell	558098	609	8	0	209497	0.38	525801	94.25	525801	94.25	580	95.24	29	4.76	4	1	2	0	1	0	22	3	0	0	0	0	0	0	490	80.46	90	14.78	0	0	268	44.01	0	0	0	0	12	1.97	0	0	0	0	0	0	431	70.77	148	24.3	506	83.09	262	43.02	220	36.12	58	9.52	215	35.3	365	59.93	365	59.93	215	35.3	193	31.69	387	63.55	88	14.45	48	7.88	34	5.58	0	0	49	8.05	130	21.35	40	6.57	0	0	0	0	390	133	571	286	0	0	609	100	19	75	12.32	5	341	55.99
	betIV			2593339176	TH00545	Bacteria	Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.545.v2	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	METHYLOTENERA	METHYLOTENERA VERSATILIS	67.9	2593339176	1224	0	0	51350	0	Gs0063444	Gp0053369	Ga0059277	Genome from Metagenome	Primary			No	Yes	No	10/15/2014			"rrmalmstrom, tmcmahon"	ipagani@lbl.gov	Ioanna Pagani			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Trout Bog, Vilas County, Wisconsin, USA"				"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	404910	"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2008 hypolimnion"						In progress	Illumina HiSeq 2000	Hypolimnion			1431993	1439	51	0	610263	0.43	1313193	91.71	1313193	91.71	1410	97.98	29	2.02	2	2	0	0	0	0	23	4	0	0	0	0	0	0	1276	88.67	134	9.31	0	0	847	58.86	0	0	0	0	19	1.32	0	0	0	0	0	0	1142	79.36	401	27.87	1300	90.34	727	50.52	582	40.44	170	11.81	581	40.38	829	57.61	1014	70.47	396	27.52	519	36.07	891	61.92	195	13.55	119	8.27	50	3.47	0	0	86	5.98	324	22.52	0	0	0	0	0	0	975	347	1286	722	0	0	1439	100	100	10	0.69	1	900	62.54
	betIV			2582580649	TE00913	Bacteria	Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.913	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	METHYLOPHILALES	METHYLOPHILACEAE	unclassified	unclassified	87.2	2582580649	1224	0	0	44141	0	Gs0063444	Gp0053362	Ga0048065	Genome from Metagenome	Primary			No	Yes		7/26/2014			"mlbendall, rrmalmstrom, simon.roux, tmcmahon"	ipagani@lbl.gov	Ioanna Pagani			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Trout Bog, Vilas County, Wisconsin, USA"				"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	404804	"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2007 epilimnion"						In progress	Illumina HiSeq 2000	Epilimnion			942700	1111	85	0	343357	0.36	894268	94.9	894268	94.9	1076	96.85	35	3.15	0	0	0	0	0	0	31	0	0	0	0	0	0	0	965	86.86	111	9.99	0	0	554	49.86	0	0	0	0	0	0	0	0	0	0	0	0	783	70.48	281	25.29	981	88.3	563	50.68	409	36.81	107	9.63	449	40.41	627	56.44	715	64.36	361	32.49	367	33.03	709	63.82	164	14.76	97	8.73	49	4.41	0	0	60	5.4	225	20.25	1053	94.78	0	0	0	0	715	261	1006	560	0	0	1111	100	93	44	3.96	3	695	62.56
	betII	Pnec		2582580621	TE02094	Bacteria	Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Trout Bog Epilimnion pan-assembly TBepi.metabat.2094	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	unclassified	63.3	2582580621	1224	0	0	44113	0	Gs0063444	Gp0053362	Ga0048037	Genome from Metagenome	Primary			No	Yes		7/26/2014			"mlbendall, rrmalmstrom, simon.roux, tmcmahon"	ipagani@lbl.gov	Ioanna Pagani			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Trout Bog, Vilas County, Wisconsin, USA"				"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	404804	"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2007 epilimnion"						In progress	Illumina HiSeq 2000	Epilimnion			2210814	2256	94	0	979035	0.44	2044558	92.48	2044558	92.48	2214	98.14	42	1.86	1	0	1	0	0	0	35	6	0	0	0	0	0	0	1815	80.45	399	17.69	0	0	1404	62.23	0	0	0	0	0	0	0	0	0	0	0	0	1512	67.02	485	21.5	1864	82.62	821	36.39	703	31.16	287	12.72	733	32.49	1481	65.65	1259	55.81	955	42.33	590	26.15	1624	71.99	273	12.1	141	6.25	78	3.46	0	0	209	9.26	573	25.4	2137	94.73	0	0	0	0	1139	388	1538	774	0	0	2256	100	162	101	4.48	15	1190	52.75
	betII	Pnec		2593339177	TH00941	Bacteria	Draft	"Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA"	Composite genome from Trout Bog Hypolimnion pan-assembly TBhypo.metabat.941.v2	DOE Joint Genome Institute (JGI)	PROTEOBACTERIA	BETAPROTEOBACTERIA	BURKHOLDERIALES	BURKHOLDERIACEAE	POLYNUCLEOBACTER	unclassified	54.1	2593339177	1224	0	0	51351	0	Gs0063444	Gp0053369	Ga0059278	Genome from Metagenome	Primary			No	Yes	No	10/15/2014			"rrmalmstrom, tmcmahon"	ipagani@lbl.gov	Ioanna Pagani			tmcmahon@engr.wisc.edu	Katherine McMahon	Environmental	Aquatic	Lentic	Freshwater	"Trout Bog, Vilas County, Wisconsin, USA"				"Trout Bog, Vilas County, Wisconsin, USA"		46.041	-89.686	404910	"Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2008 hypolimnion"						In progress	Illumina HiSeq 2000	Hypolimnion			1496525	1581	68	0	670944	0.45	1391467	92.99	1391467	92.99	1552	98.17	29	1.83	0	0	0	0	0	0	27	0	0	0	0	0	0	0	1324	83.74	228	14.42	0	0	913	57.75	0	0	0	0	22	1.39	0	0	0	0	0	0	1097	69.39	386	24.41	1355	85.71	625	39.53	568	35.93	198	12.52	561	35.48	991	62.68	928	58.7	624	39.47	494	31.25	1058	66.92	216	13.66	113	7.15	60	3.8	0	0	126	7.97	380	24.04	0	0	0	0	0	0	906	320	1232	616	0	0	1581	100	97	36	2.28	3	900	56.93
